dataset         	source_train	source_validation	source_test	source_unknown	policy                                    	target_ratio	used_validation	target_train	target_test	train_cap	seed	notes                                                                                          
ChartQA         	       28299	             1920	       2500	             0	native_train_plus_native_test             	native      	no             	       10000	       2500	    10000	  42	train_capped_to_10000                                                                          
ChemVQA-2K      	       15392	                0	       3848	             0	native_train_plus_native_test             	native      	no             	       10000	       3848	    10000	  42	train_capped_to_10000                                                                          
DocVQA          	       63409	             8150	       8476	             0	native_train_plus_native_test             	native      	no             	       10000	       8476	    10000	  42	train_capped_to_10000                                                                          
EEE-Bench       	           0	                0	       3432	             0	resplit_test_or_unknown_only_80_20        	80:19       	no             	        2745	        687	    10000	  42	                                                                                               
GEOQA_8K_R1V    	        8031	                0	        754	             0	native_train_plus_native_test             	native      	no             	        8031	        754	    10000	  42	                                                                                               
Geoperception   	       11657	                0	          0	             0	train_only_target_10000_train_2000_test   	10000:2000  	no             	       10000	       1657	    10000	  42	insufficient_for_2000_test_available_1657                                                      
Graph-Algorithms	       10000	                0	          0	             0	resplit_train_only_80_20_below_10000_train	80:19       	no             	        8000	       2000	    10000	  42	insufficient_for_12000_total_available_10000                                                   
GraphVQA-Swift  	        8850	                0	       2213	             0	native_train_plus_native_test             	native      	no             	        8850	       2213	    10000	  42	                                                                                               
OlympiadBench   	           0	                0	          0	          8476	resplit_test_or_unknown_only_80_20        	80:19       	no             	        6780	       1696	    10000	  42	                                                                                               
Physics         	        7090	                0	          0	             0	resplit_train_only_80_20_below_10000_train	80:19       	no             	        5672	       1418	    10000	  42	insufficient_for_12000_total_available_7090                                                    
dvqa            	     2325316	                0	          0	             0	train_only_target_10000_train_2000_test   	10000:2000  	no             	       10000	       2000	    10000	  42	                                                                                               
figureqa        	     1327368	                0	          0	             0	train_only_target_10000_train_2000_test   	10000:2000  	no             	       10000	       2000	    10000	  42	                                                                                               
geometry3k      	        2101	              300	        601	             0	native_train_plus_native_test             	native      	no             	        2101	        601	    10000	  42	                                                                                               
spatialvlm_qa   	       40000	                0	          0	             0	train_only_target_10000_train_2000_test   	10000:2000  	no             	       10000	       2000	    10000	  42	                                                                                               
matplotlib      	           0	                0	          0	           643	resplit_unknown_only_fixed_train_rest_test	500:143     	no             	         500	        143	      500	  42	source_status_ok_only,one_row_per_rendered_image,train_target_500,deterministic_shuffle_seed_42
