baseline_metric,comparison_metric,correlation,n,delta,ci_low,ci_high,bootstrap_mean_delta,prob_delta_gt_0
ours_final,generic_final,spearman,537,0.0700002310,-0.0106979286,0.1502213192,0.0705406294,0.9576000000
ours_final,cosine_image_only_0_to_5_all_rows,spearman,539,0.2048964792,0.1240122612,0.2884577299,0.2050536725,1.0000000000
ours_final,cosine_image_plus_text_0_to_5_all_rows,spearman,539,0.2461797668,0.1613340387,0.3334830722,0.2466330532,1.0000000000
ours_final,cosine_image_only_0_to_5,spearman,536,0.2087628179,0.1255320743,0.2924366897,0.2086663972,1.0000000000
ours_final,cosine_image_plus_text_0_to_5,spearman,536,0.2506396927,0.1659823660,0.3382979648,0.2509595031,1.0000000000
ours_final,generic_final,pearson,537,0.0956980306,0.0219648136,0.1703038040,0.0958105486,0.9948000000
ours_final,cosine_image_only_0_to_5_all_rows,pearson,539,0.3162300516,0.2094908324,0.3825591729,0.3068870906,1.0000000000
ours_final,cosine_image_plus_text_0_to_5_all_rows,pearson,539,0.4121008765,0.2527517148,0.4700443333,0.3969388737,1.0000000000
ours_final,cosine_image_only_0_to_5,pearson,536,0.2225945313,0.1536136266,0.2909450296,0.2222448542,1.0000000000
ours_final,cosine_image_plus_text_0_to_5,pearson,536,0.2501795183,0.1755377950,0.3229807249,0.2499755979,1.0000000000
