metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
main_benchmark,filtered_test,test,qwen35_9b,ChartQA,,195,195,0,195,0,3.2348717949,3.2348717949,3.2962564103,3.2348717949,3.2962564103,195,175
main_benchmark,filtered_test,test,qwen35_9b,ChemVQA-2K,,288,288,0,288,0,0.1031250000,0.1031250000,0.2065972222,0.1031250000,0.2065972222,288,99
main_benchmark,filtered_test,test,qwen35_9b,DocVQA,,292,292,0,292,0,1.2472602740,1.2472602740,1.6973116438,1.2472602740,1.6973116438,292,180
main_benchmark,filtered_test,test,qwen35_9b,EEE-Bench,,67,67,0,67,0,0.4805970149,0.4805970149,0.5052238806,0.4805970149,0.5052238806,67,42
main_benchmark,filtered_test,test,qwen35_9b,GEOQA_8K_R1V,,73,73,0,73,0,1.6424657534,1.6424657534,1.6886986301,1.6424657534,1.6886986301,73,71
main_benchmark,filtered_test,test,qwen35_9b,Geoperception,,137,137,0,137,0,1.9364963504,1.9364963504,1.9790145985,1.9364963504,1.9790145985,137,126
main_benchmark,filtered_test,test,qwen35_9b,Graph-Algorithms,,161,161,0,161,0,0.9509316770,0.9509316770,1.9847826087,0.9509316770,1.9847826087,161,153
main_benchmark,filtered_test,test,qwen35_9b,GraphVQA-Swift,,175,175,0,175,0,2.0348571429,2.0348571429,2.9551428571,2.0348571429,2.9551428571,175,169
main_benchmark,filtered_test,test,qwen35_9b,OlympiadBench,,81,81,0,81,0,1.3604938272,1.3604938272,1.6009259259,1.3604938272,1.6009259259,81,66
main_benchmark,filtered_test,test,qwen35_9b,Physics,,121,121,0,121,0,1.7190082645,1.7190082645,2.0506198347,1.7190082645,2.0506198347,121,104
main_benchmark,filtered_test,test,qwen35_9b,dvqa,,161,161,0,161,0,3.2062111801,3.2062111801,3.3037888199,3.2062111801,3.3037888199,161,155
main_benchmark,filtered_test,test,qwen35_9b,figureqa,,161,161,0,161,0,2.9546583851,2.9546583851,3.1020186335,2.9546583851,3.1020186335,161,134
main_benchmark,filtered_test,test,qwen35_9b,geometry3k,,65,65,0,65,0,1.4000000000,1.4000000000,1.5153846154,1.4000000000,1.5153846154,65,59
main_benchmark,filtered_test,test,qwen35_9b,matplotlib,,31,31,0,31,0,1.5483870968,1.5483870968,1.5403225806,1.5483870968,1.5403225806,31,24
main_benchmark,filtered_test,test,qwen35_9b,spatialvlm_qa,,161,161,0,161,0,0.1248447205,0.1248447205,0.1302795031,0.1248447205,0.1302795031,161,28
main_benchmark,filtered_test_mini,test,qwen35_9b,ChartQA,,45,45,0,45,0,3.0977777778,3.0977777778,3.1642222222,3.0977777778,3.1642222222,45,39
main_benchmark,filtered_test_mini,test,qwen35_9b,ChemVQA-2K,,63,63,0,63,0,0.0682539683,0.0682539683,0.1412698413,0.0682539683,0.1412698413,63,23
main_benchmark,filtered_test_mini,test,qwen35_9b,DocVQA,,68,68,0,68,0,1.2294117647,1.2294117647,1.6765441176,1.2294117647,1.6765441176,68,43
main_benchmark,filtered_test_mini,test,qwen35_9b,EEE-Bench,,22,22,0,22,0,0.5045454545,0.5045454545,0.5022727273,0.5045454545,0.5022727273,22,19
main_benchmark,filtered_test_mini,test,qwen35_9b,GEOQA_8K_R1V,,21,21,0,21,0,1.9952380952,1.9952380952,2.0357142857,1.9952380952,2.0357142857,21,21
main_benchmark,filtered_test_mini,test,qwen35_9b,Geoperception,,34,34,0,34,0,2.0000000000,2.0000000000,2.0294117647,2.0000000000,2.0294117647,34,31
main_benchmark,filtered_test_mini,test,qwen35_9b,Graph-Algorithms,,39,39,0,39,0,0.6948717949,0.6948717949,1.5858974359,0.6948717949,1.5858974359,39,38
main_benchmark,filtered_test_mini,test,qwen35_9b,GraphVQA-Swift,,42,42,0,42,0,1.7904761905,1.7904761905,2.8976190476,1.7904761905,2.8976190476,42,41
main_benchmark,filtered_test_mini,test,qwen35_9b,OlympiadBench,,23,23,0,23,0,1.2782608696,1.2782608696,1.5413043478,1.2782608696,1.5413043478,23,19
main_benchmark,filtered_test_mini,test,qwen35_9b,Physics,,31,31,0,31,0,2.0838709677,2.0838709677,2.3435483871,2.0838709677,2.3435483871,31,28
main_benchmark,filtered_test_mini,test,qwen35_9b,dvqa,,39,39,0,39,0,3.3923076923,3.3923076923,3.4832051282,3.3923076923,3.4832051282,39,38
main_benchmark,filtered_test_mini,test,qwen35_9b,figureqa,,39,39,0,39,0,2.8282051282,2.8282051282,2.9357692308,2.8282051282,2.9357692308,39,32
main_benchmark,filtered_test_mini,test,qwen35_9b,geometry3k,,21,21,0,21,0,0.9809523810,0.9809523810,1.1976190476,0.9809523810,1.1976190476,21,19
main_benchmark,filtered_test_mini,test,qwen35_9b,matplotlib,,13,13,0,13,0,1.9076923077,1.9076923077,1.8961538462,1.9076923077,1.8961538462,13,10
main_benchmark,filtered_test_mini,test,qwen35_9b,spatialvlm_qa,,39,39,0,39,0,0.1025641026,0.1025641026,0.1102564103,0.1025641026,0.1102564103,39,4
main_benchmark,filtered_test,test,kimi_k2_5,ChartQA,,195,195,0,195,0,2.8564102564,2.8564102564,2.8826923077,2.8564102564,2.8826923077,195,132
main_benchmark,filtered_test,test,kimi_k2_5,ChemVQA-2K,,288,288,0,288,0,1.8114583333,1.8114583333,2.7894097222,1.8114583333,2.7894097222,288,223
main_benchmark,filtered_test,test,kimi_k2_5,DocVQA,,292,292,0,292,0,2.5893835616,2.5893835616,3.4866780822,2.5893835616,3.4866780822,292,231
main_benchmark,filtered_test,test,kimi_k2_5,EEE-Bench,,67,67,0,67,0,2.8014925373,2.8014925373,2.8429104478,2.8014925373,2.8429104478,67,63
main_benchmark,filtered_test,test,kimi_k2_5,GEOQA_8K_R1V,,73,73,0,73,0,2.7726027397,2.7726027397,2.8941780822,2.7726027397,2.8941780822,73,69
main_benchmark,filtered_test,test,kimi_k2_5,Geoperception,,137,137,0,137,0,3.2321167883,3.2321167883,3.2789416058,3.2321167883,3.2789416058,137,132
main_benchmark,filtered_test,test,kimi_k2_5,Graph-Algorithms,,161,161,0,161,0,2.8714285714,2.8714285714,3.5708074534,2.8714285714,3.5708074534,161,151
main_benchmark,filtered_test,test,kimi_k2_5,GraphVQA-Swift,,175,175,0,175,0,3.7794285714,3.7794285714,3.9468571429,3.7794285714,3.9468571429,175,173
main_benchmark,filtered_test,test,kimi_k2_5,OlympiadBench,,81,81,0,81,0,2.1740740741,2.1740740741,2.8929012346,2.1740740741,2.8929012346,81,77
