split,source_split,model_a,model_b,mean_a,mean_b,mean_diff_a_minus_b,ci_level,ci_lower,ci_upper,bootstrap_std,num_paired_samples,a_sample_win_rate,b_sample_win_rate,tie_rate,interpretation
filtered_test_mini,test-mini,qwen35_9b,kimi_k2_5,1.5521335807,2.9441558442,-1.3920222635,0.9500000000,-1.5603014842,-1.2205890538,0.0865598236,539,0.1317254174,0.7050092764,0.1632653061,model_b_higher
filtered_test_mini,test-mini,qwen35_9b,kimi_k2_5_reasoning,1.5521335807,3.2562152134,-1.7040816327,0.9500000000,-1.8779220779,-1.5287569573,0.0892138402,539,0.1094619666,0.7458256030,0.1447124304,model_b_higher
filtered_test_mini,test-mini,qwen35_9b,qwen35_397b_a17b,1.5550185874,2.3228624535,-0.7678438662,0.9500000000,-0.9247258364,-0.6128206320,0.0792052746,538,0.2286245353,0.5687732342,0.2026022305,model_b_higher
filtered_test_mini,test-mini,qwen35_9b,qwen35_397b_a17b_reasoning,1.5521335807,2.8994434137,-1.3473098330,0.9500000000,-1.5265352505,-1.1727272727,0.0905972301,539,0.1688311688,0.6400742115,0.1910946197,model_b_higher
filtered_test_mini,test-mini,qwen35_9b,gpt_5_4_mini,1.5485130112,3.7955390335,-2.2470260223,0.9500000000,-2.4180297398,-2.0708085502,0.0878261472,538,0.0650557621,0.8475836431,0.0873605948,model_b_higher
filtered_test_mini,test-mini,qwen35_9b,gpt_5_4_mini_reasoning_medium,1.5521335807,4.0838589981,-2.5317254174,0.9500000000,-2.6840445269,-2.3805148423,0.0775203074,539,0.0371057514,0.8905380334,0.0723562152,model_b_higher
filtered_test_mini,test-mini,qwen35_9b,gemini_3_1_flash_lite_preview,1.5550185874,2.9821561338,-1.4271375465,0.9500000000,-1.5814126394,-1.2713754647,0.0787510543,538,0.0817843866,0.7230483271,0.1951672862,model_b_higher
filtered_test_mini,test-mini,kimi_k2_5,kimi_k2_5_reasoning,2.9441558442,3.2562152134,-0.3120593692,0.9500000000,-0.4803385900,-0.1445269017,0.0854102118,539,0.2857142857,0.4174397032,0.2968460111,model_b_higher
filtered_test_mini,test-mini,kimi_k2_5,qwen35_397b_a17b,2.9496282528,2.3228624535,0.6267657993,0.9500000000,0.4447955390,0.8039079926,0.0917277277,538,0.5594795539,0.2676579926,0.1728624535,model_a_higher
filtered_test_mini,test-mini,kimi_k2_5,qwen35_397b_a17b_reasoning,2.9441558442,2.8994434137,0.0447124304,0.9500000000,-0.1447124304,0.2343228200,0.0965715428,539,0.3692022263,0.3487940631,0.2820037106,overlap_zero
filtered_test_mini,test-mini,kimi_k2_5,gpt_5_4_mini,2.9403345725,3.7955390335,-0.8552044610,0.9500000000,-1.0397769517,-0.6715613383,0.0939338760,538,0.1747211896,0.5780669145,0.2472118959,model_b_higher
filtered_test_mini,test-mini,kimi_k2_5,gpt_5_4_mini_reasoning_medium,2.9441558442,4.0838589981,-1.1397031540,0.9500000000,-1.3048283859,-0.9656771800,0.0856285778,539,0.1669758813,0.5955473098,0.2374768089,model_b_higher
