split,source_split,model_slug,observed_mean_score,observed_rank,mean_bootstrap_rank,top1_probability,num_complete_samples,rank_1_probability,rank_2_probability,rank_3_probability,rank_4_probability,rank_5_probability,rank_6_probability,rank_7_probability,rank_8_probability
filtered_test_mini,test-mini,qwen35_9b,1.5542910448,8,8.0000000000,0.0000000000,536,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
filtered_test_mini,test-mini,kimi_k2_5,2.9427238806,5,5.0561000000,0.0000000000,536,0.0000000000,0.0000000000,0.0001000000,0.2559000000,0.4318000000,0.3122000000,0.0000000000,0.0000000000
filtered_test_mini,test-mini,kimi_k2_5_reasoning,3.2652985075,3,3.0008000000,0.0000000000,536,0.0000000000,0.0000000000,0.9992000000,0.0008000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
filtered_test_mini,test-mini,qwen35_397b_a17b,2.3250000000,7,7.0000000000,0.0000000000,536,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
filtered_test_mini,test-mini,qwen35_397b_a17b_reasoning,2.9024253731,6,5.5041000000,0.0000000000,536,0.0000000000,0.0000000000,0.0000000000,0.1157000000,0.2645000000,0.6198000000,0.0000000000,0.0000000000
filtered_test_mini,test-mini,gpt_5_4_mini,3.8018656716,2,2.0000000000,0.0000000000,536,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
filtered_test_mini,test-mini,gpt_5_4_mini_reasoning_medium,4.0841417910,1,1.0000000000,1.0000000000,536,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
filtered_test_mini,test-mini,gemini_3_1_flash_lite_preview,2.9886194030,4,4.4390000000,0.0000000000,536,0.0000000000,0.0000000000,0.0007000000,0.6276000000,0.3037000000,0.0680000000,0.0000000000,0.0000000000
filtered_test,test,qwen35_9b,1.5765494912,8,8.0000000000,0.0000000000,2162,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
filtered_test,test,kimi_k2_5,2.8643385754,5,5.2439000000,0.0000000000,2162,0.0000000000,0.0000000000,0.0000000000,0.1760000000,0.4041000000,0.4199000000,0.0000000000,0.0000000000
filtered_test,test,kimi_k2_5_reasoning,3.1738667900,3,3.0000000000,0.0000000000,2162,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
filtered_test,test,qwen35_397b_a17b,2.1880666050,7,7.0000000000,0.0000000000,2162,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
filtered_test,test,qwen35_397b_a17b_reasoning,2.8590656799,6,5.3632000000,0.0000000000,2162,0.0000000000,0.0000000000,0.0000000000,0.1453000000,0.3462000000,0.5085000000,0.0000000000,0.0000000000
filtered_test,test,gpt_5_4_mini,3.6786771508,2,2.0000000000,0.0000000000,2162,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
filtered_test,test,gpt_5_4_mini_reasoning_medium,4.0430157262,1,1.0000000000,1.0000000000,2162,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
filtered_test,test,gemini_3_1_flash_lite_preview,2.8981036078,4,4.3929000000,0.0000000000,2162,0.0000000000,0.0000000000,0.0000000000,0.6787000000,0.2497000000,0.0716000000,0.0000000000,0.0000000000
