metric_group,split,source_split,model_slug,dataset,num_filtered_samples,num_metric_rows,num_missing_rows,scored_rows,missing_render_rows,embed_error_rows,mean_cosine_image_only,mean_cosine_image_plus_text,mean_cosine_image_only_0_to_5,mean_cosine_image_plus_text_0_to_5,mean_cosine_image_only_0_to_5_all_rows,mean_cosine_image_plus_text_0_to_5_all_rows
cosine_similarity,filtered_test,test,qwen35_9b,ChartQA,195,195,0,175,20,0,0.8090564697,0.8788087525,4.5226411743,4.6970218812,4.0587805410,4.2152760472
cosine_similarity,filtered_test,test,qwen35_9b,ChemVQA-2K,288,288,0,99,189,0,0.6190730743,0.8329978898,4.0476826857,4.5824947246,1.3913909232,1.5752325616
cosine_similarity,filtered_test,test,qwen35_9b,DocVQA,292,292,0,180,112,0,0.8679305886,0.9289636089,4.6698264716,4.8224090222,2.8786601537,2.9727178904
cosine_similarity,filtered_test,test,qwen35_9b,EEE-Bench,67,67,0,42,25,0,0.7336674247,0.8240015805,4.3341685619,4.5600039512,2.7169414865,2.8585099396
cosine_similarity,filtered_test,test,qwen35_9b,GEOQA_8K_R1V,73,73,0,71,2,0,0.7473475576,0.8831207232,4.3683688941,4.7078018079,4.2486875545,4.5788209365
cosine_similarity,filtered_test,test,qwen35_9b,Geoperception,137,137,0,126,11,0,0.8438575899,0.9115156673,4.6096439748,4.7787891683,4.2395265754,4.3950907679
cosine_similarity,filtered_test,test,qwen35_9b,Graph-Algorithms,161,161,0,153,8,0,0.8244016506,0.9064809770,4.5610041264,4.7662024424,4.3343703810,4.5293725074
cosine_similarity,filtered_test,test,qwen35_9b,GraphVQA-Swift,175,175,0,169,6,0,0.8673293183,0.9281947168,4.6683232958,4.8204867921,4.5082664971,4.6552129592
cosine_similarity,filtered_test,test,qwen35_9b,OlympiadBench,81,81,0,66,15,0,0.7765414629,0.8311754492,4.4413536573,4.5779386230,3.6188807578,3.7301722114
cosine_similarity,filtered_test,test,qwen35_9b,Physics,121,121,0,104,17,0,0.8358076272,0.9071674158,4.5895190680,4.7679185394,3.9447106039,4.0980456868
