metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,ChartQA,,45,45,0,45,0,3.6088888889,3.6088888889,3.5850000000,3.6088888889,3.5850000000,45,38
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,ChemVQA-2K,,63,63,0,63,0,0.4825396825,0.4825396825,0.4722222222,0.4825396825,0.4722222222,63,22
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,DocVQA,,68,68,0,64,4,1.6609375000,1.6609375000,1.6500000000,1.6609375000,1.6500000000,64,49
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,EEE-Bench,,22,22,0,22,0,1.2909090909,1.2909090909,1.2670454545,1.2909090909,1.2670454545,22,18
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,GEOQA_8K_R1V,,21,21,0,21,0,2.7952380952,2.7952380952,2.7678571429,2.7952380952,2.7678571429,21,19
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,Geoperception,,34,34,0,34,0,2.5647058824,2.5647058824,2.5360294118,2.5647058824,2.5360294118,34,32
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,Graph-Algorithms,,39,39,0,39,0,2.2333333333,2.2333333333,2.2083333333,2.2333333333,2.2083333333,39,38
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,GraphVQA-Swift,,42,42,0,42,0,3.5785714286,3.5785714286,3.5648809524,3.5785714286,3.5648809524,42,42
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,OlympiadBench,,23,23,0,23,0,2.4086956522,2.4086956522,2.3858695652,2.4086956522,2.3858695652,23,21
generic_rubric,filtered_test_mini,test-mini,qwen35_9b,Physics,,31,31,0,31,0,3.0225806452,3.0225806452,3.0000000000,3.0225806452,3.0000000000,31,28
