metric_group,split,source_split,model_slug,source_kind,num_filtered_samples,num_metric_rows,num_missing_rows,num_render_success,render_success_rate
render_success,filtered_test,test,qwen35_9b,benchmark_eval,2169,2169,0,1585,0.7307514984
render_success,filtered_test_mini,test,qwen35_9b,benchmark_eval_test_derived,539,539,0,405,0.7513914657
render_success,filtered_test,test,kimi_k2_5,benchmark_eval,2169,2169,0,1880,0.8667588751
render_success,filtered_test_mini,test,kimi_k2_5,benchmark_eval_test_derived,539,539,0,477,0.8849721707
render_success,filtered_test,test,kimi_k2_5_reasoning,benchmark_eval,2169,2169,0,1952,0.8999538958
render_success,filtered_test_mini,test,kimi_k2_5_reasoning,benchmark_eval_test_derived,539,539,0,490,0.9090909091
render_success,filtered_test,test,qwen35_397b_a17b,benchmark_eval,2169,2169,0,1860,0.8575380360
render_success,filtered_test_mini,test,qwen35_397b_a17b,benchmark_eval_test_derived,539,539,0,474,0.8794063080
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,benchmark_eval,2169,2169,0,1784,0.8224988474
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,benchmark_eval_test_derived,539,539,0,440,0.8163265306
render_success,filtered_test,test,gpt_5_4,benchmark_eval,2169,2169,0,2128,0.9810972799
render_success,filtered_test_mini,test,gpt_5_4,benchmark_eval_test_derived,539,539,0,526,0.9758812616
render_success,filtered_test,test,gpt_5_4_mini,benchmark_eval,2169,2169,0,2020,0.9313047487
render_success,filtered_test_mini,test,gpt_5_4_mini,benchmark_eval_test_derived,539,539,0,507,0.9406307978
render_success,filtered_test,test,gpt_5_4_mini_reasoning_medium,benchmark_eval,2169,2169,0,2142,0.9875518672
render_success,filtered_test_mini,test,gpt_5_4_mini_reasoning_medium,benchmark_eval_test_derived,539,539,0,533,0.9888682746
render_success,filtered_test,test,gemini_3_1_flash_lite_preview,benchmark_eval,2169,2169,0,1987,0.9160903642
render_success,filtered_test_mini,test,gemini_3_1_flash_lite_preview,benchmark_eval_test_derived,539,539,0,497,0.9220779221
render_success,filtered_test,test,run_ssl_qwen9b,missing_benchmark_eval,2169,0,2169,0,0.0000000000
render_success,filtered_test_mini,test,run_ssl_qwen9b,missing_benchmark_eval,539,0,539,0,0.0000000000
